track	measurement_date	weekday	measurement_time	turf_goal	turf_4corner	dirt_goal	dirt_4corner
新潟	2026-07-24	金	10:30	14.3	12.7	6.4	8.2
新潟	2026-07-25	土	5:30	13.9	12.8	7.6	9.5
新潟	2026-07-26	日	5:30	12.9	12.4	8.9	10.0
新潟	2026-07-31	金	10:30	13.4	12.9	9.5	9.6
新潟	2026-08-01	土	5:30	13.0	12.1	7.6	8.1
新潟	2026-08-02	日	5:30	12.2	11.3	6.1	6.0
新潟	2026-08-07	金	10:30	11.5	13.1	1.9	1.4
新潟	2026-08-08	土	5:30	11.5	12.8	2.3	2.0
新潟	2026-08-09	日	5:30	12.6	12.4	2.0	2.3
新潟	2026-08-14	金	10:30	10.2	11.7	0.9	1.1
新潟	2026-08-15	土	5:30	11.4	12.9	1.7	2.1
新潟	2026-08-16	日	5:30	11.1	11.4	2.0	1.8
新潟	2026-08-21	金	10:30	12.1	13.5	3.3	3.4
新潟	2026-08-22	土	5:30	13.0	12.4	2.3	2.6
新潟	2026-08-23	日	5:30	11.5	12.0	1.7	2.1
中京	2026-07-24	金	9:30	13.4	14.2	2.0	1.4
中京	2026-07-25	土	5:30	14.1	13.6	1.5	1.3
中京	2026-07-26	日	5:30	14.8	12.8	1.4	1.0
中京	2026-07-31	金	9:30	13.6	14.8	5.4	5.4
中京	2026-08-01	土	5:30	15.1	13.8	4.8	3.8
中京	2026-08-02	日	5:30	13.7	14.5	2.8	2.5
中京	2026-08-07	金	9:30	14.1	14.2	3.7	4.8
中京	2026-08-08	土	5:30	13.8	13.1	3.0	3.0
中京	2026-08-09	日	5:30	13.8	12.0	2.7	2.5
中京	2026-08-14	金	9:30	14.2	11.9	4.8	4.6
中京	2026-08-15	土	5:30	14.1	13.7	4.3	4.7
中京	2026-08-16	日	5:30	13.0	13.1	3.4	3.3
中京	2026-08-21	金	9:30	14.2	12.8	0.2	0.2
中京	2026-08-22	土	5:30	14.2	13.5	0.2	0.2
中京	2026-08-23	日	5:30	14.0	12.7	1.2	1.2
札幌	2026-07-24	金	10:00	12.2	13.7	5.9	4.6
札幌	2026-07-25	土	4:00	13.5	13.3	6.1	4.4
札幌	2026-07-26	日	4:00	11.2	13.4	3.2	3.7
札幌	2026-07-31	金	10:00	14.7	14.3	9.8	9.0
札幌	2026-08-01	土	4:00	13.8	13.2	8.6	9.4
札幌	2026-08-02	日	4:00	13.9	12.5	7.1	8.3
札幌	2026-08-07	金	10:00	13.0	11.3	1.7	2.7
札幌	2026-08-08	土	4:00	11.8	12.4	2.0	2.1
札幌	2026-08-09	日	4:00	15.2	13.1	4.8	4.9
札幌	2026-08-14	金	10:00	14.2	12.4	2.0	1.9
札幌	2026-08-15	土	4:00	13.0	13.6	2.0	2.6
札幌	2026-08-16	日	4:00	11.4	12.3	2.1	2.1
札幌	2026-08-21	金	10:00	15.5	13.8	5.5	4.5
札幌	2026-08-22	土	4:00	13.1	11.5	3.6	3.2
札幌	2026-08-23	日	4:00	12.3	12.1	3.0	2.2
